model,precision@10,recall@10,ndcg@10
Semantic,0.08333333333333333,0.20833333333333334,0.22909045209801968
Hybrid,0.11666666666666665,0.2833333333333333,0.36046346391512524
TF-IDF,0.18333333333333335,0.4166666666666667,0.5017092487332067
